City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ushuaia,AR,37.06,clear sky,-54.8,-68.3,Albatross Hotel
1,Aljezur,PT,66.4,clear sky,37.3191,-8.8033,Amazigh Hostel
2,Punta Arenas,CL,41.11,few clouds,-53.15,-70.9167,Hotel Hain
4,Hirara,JP,81.46,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
5,Broome,US,76.69,clear sky,42.2506,-75.833,Chenango Valley State Park
6,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
7,Ewa Beach,US,78.75,broken clouds,21.3156,-158.0072,Base Lodging
8,Ratnagiri,IN,82.6,overcast clouds,16.9833,73.3,Hotel Landmark
10,Byron Bay,AU,46.94,clear sky,-28.65,153.6167,Backpackers Inn
11,Mataura,NZ,46.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
12,Port Hardy,CA,55.58,mist,50.6996,-127.4199,Airport Inn-Port Hardy
13,Hithadhoo,MV,83.19,overcast clouds,-0.6,73.0833,Scoop Guest House
15,Rikitea,PF,77.43,scattered clouds,-23.1203,-134.9692,People ThankYou
16,Tiksi,RU,31.73,overcast clouds,71.6872,128.8694,Arktika
17,Port Alfred,ZA,57.61,clear sky,-33.5906,26.891,The Halyards Hotel
18,Dingle,PH,76.55,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
19,Luderitz,,63.84,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
20,Camargo,MX,94.06,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
21,Bluff,NZ,46.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
22,Paita,PE,71.55,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
23,Kruisfontein,ZA,50.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
24,Ilulissat,GL,37.42,few clouds,69.2167,-51.1,Hotel Arctic
25,Klaksvik,FO,47.32,scattered clouds,62.2266,-6.589,Airbnb rooms
28,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel San Juan
29,Kokkola,FI,55.92,overcast clouds,63.8385,23.1307,Hotel Kokkola
31,Thompson,CA,41.16,overcast clouds,55.7435,-97.8558,Burntwood Hotel
33,Lakatoro,VU,78.15,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
34,Busselton,AU,56.98,overcast clouds,-33.65,115.3333,Observatory Guest House
37,Cape Town,ZA,59.92,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
38,Hobart,AU,47.23,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
