City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,2022-06-02 18:38:12,-54.8,-68.3,37.06,65,0,1.14,clear sky
1,Aljezur,PT,2022-06-02 18:42:40,37.3191,-8.8033,66.4,76,5,9.24,clear sky
2,Punta Arenas,CL,2022-06-02 18:42:40,-53.15,-70.9167,41.11,75,20,13.8,few clouds
3,Oksfjord,NO,2022-06-02 18:42:41,70.2396,22.3479,62.01,48,82,5.73,broken clouds
4,Hirara,JP,2022-06-02 18:42:41,24.8,125.2833,81.46,88,93,11.48,moderate rain
5,Broome,US,2022-06-02 18:42:42,42.2506,-75.833,76.69,57,0,5.75,clear sky
6,Vaini,TO,2022-06-02 18:42:42,-21.2,-175.2,75.36,94,75,3.44,broken clouds
7,Ewa Beach,US,2022-06-02 18:42:42,21.3156,-158.0072,78.75,68,75,9.22,broken clouds
8,Ratnagiri,IN,2022-06-02 18:42:43,16.9833,73.3,82.6,80,100,6.85,overcast clouds
9,Yerbogachen,RU,2022-06-02 18:42:43,61.2767,108.0108,54.52,60,100,5.1,overcast clouds
10,Byron Bay,AU,2022-06-02 18:41:37,-28.65,153.6167,46.94,81,5,3.15,clear sky
11,Mataura,NZ,2022-06-02 18:42:44,-46.1927,168.8643,46.47,91,100,7.02,overcast clouds
12,Port Hardy,CA,2022-06-02 18:42:15,50.6996,-127.4199,55.58,100,100,5.75,mist
13,Hithadhoo,MV,2022-06-02 18:42:44,-0.6,73.0833,83.19,73,100,10.78,overcast clouds
14,Dikson,RU,2022-06-02 18:42:44,73.5069,80.5464,29.44,87,100,30.96,overcast clouds
15,Rikitea,PF,2022-06-02 18:42:45,-23.1203,-134.9692,77.43,79,47,18.97,scattered clouds
16,Tiksi,RU,2022-06-02 18:42:45,71.6872,128.8694,31.73,96,100,6.11,overcast clouds
17,Port Alfred,ZA,2022-06-02 18:42:46,-33.5906,26.891,57.61,81,1,4.61,clear sky
18,Dingle,PH,2022-06-02 18:42:47,10.9995,122.6711,76.55,89,75,1.68,broken clouds
19,Luderitz,NA,2022-06-02 18:42:47,-26.6481,15.1594,63.84,39,0,2.73,clear sky
20,Camargo,MX,2022-06-02 18:42:48,27.6667,-105.1667,94.06,19,100,8.52,overcast clouds
21,Bluff,NZ,2022-06-02 18:42:48,-46.6,168.3333,46.8,69,100,17.76,overcast clouds
